date range,SPY last of current block,SPY moving avg of next block
2012-01-02:2012-01-06,108.2150650024414,108.95337209393901
2012-01-09:2012-01-13,109.17257690429688,109.7211665491904
2012-01-16:2012-01-20,111.80782318115234,111.6113017912834
2012-01-23:2012-01-27,111.69768524169922,111.58396862399194
2012-01-30:2012-02-03,114.00244140625,114.12874430994833
2012-02-06:2012-02-10,113.84996032714844,114.63907623291016
2012-02-13:2012-02-17,115.58702850341795,115.58484108217301
2012-02-20:2012-02-24,116.0276107788086,116.3299555624685
2012-02-27:2012-03-02,116.349609375,115.36014409219065
2012-03-05:2012-03-09,116.56993865966795,117.63829655801096
2012-03-12:2012-03-16,119.40421295166016,119.58841114659464
2012-03-19:2012-03-23,118.85102081298828,120.19954607563633
2012-03-26:2012-03-30,119.8382568359375,120.20118713378906
2012-04-02:2012-04-06,118.9701690673828,116.99212966426727
2012-04-09:2012-04-13,116.71485137939452,117.31690314508253
2012-04-16:2012-04-20,117.4041976928711,117.07860319076046
2012-04-23:2012-04-27,119.4808120727539,119.16590536794355
2012-04-30:2012-05-04,116.59567260742188,116.31045753725114
2012-05-07:2012-05-11,115.4126968383789,113.52801956668976
2012-05-14:2012-05-18,110.41697692871094,112.43262309412802
2012-05-21:2012-05-25,112.42550659179688,112.59680668000252
2012-05-28:2012-06-01,109.07228088378906,110.01341075281942
2012-06-04:2012-06-08,113.27654266357422,112.44950251425466
2012-06-11:2012-06-15,114.75316619873048,115.24769026233304
2012-06-18:2012-06-22,114.1714096069336,112.90370448943108
2012-06-25:2012-06-29,116.42992401123048,117.06599475491431
2012-07-02:2012-07-06,115.90809631347656,115.28604913526968
2012-07-09:2012-07-13,116.13047790527344,116.43182889876827
2012-07-16:2012-07-20,116.74642181396484,115.34373867896295
2012-07-23:2012-07-27,118.6370086669922,118.20844268798828
2012-07-30:2012-08-03,119.21019744873048,119.7800534156061
2012-08-06:2012-08-10,120.48486328125,120.55548169535976
2012-08-13:2012-08-17,121.63114166259766,121.40074896043346
2012-08-20:2012-08-24,121.05801391601562,120.98101265199723
2012-08-27:2012-08-31,120.7585906982422,120.93382410849294
2012-09-03:2012-09-07,123.47042846679688,123.22734119046119
2012-09-10:2012-09-14,125.95986938476562,125.49705456149194
2012-09-17:2012-09-21,125.4539794921875,124.55625423308342
2012-09-24:2012-09-28,123.81991577148438,124.41060663038685
2012-10-01:2012-10-05,125.68624877929688,124.47191103043095
2012-10-08:2012-10-12,122.89111328125,124.55123138427734
2012-10-15:2012-10-19,123.3211441040039,122.4644039523217
2012-10-22:2012-10-26,121.56664276123048,121.65458876086821
2012-10-29:2012-11-02,121.74723815917969,121.69286715599799
2012-11-05:2012-11-09,118.82310485839844,118.35618443642893
2012-11-12:2012-11-16,117.2836456298828,119.78551630819997
2012-11-19:2012-11-23,121.56664276123048,121.28421931112966
2012-11-26:2012-11-30,122.2546615600586,121.66984016664567
2012-12-03:2012-12-07,122.478271484375,122.85919337118825
2012-12-10:2012-12-14,122.211669921875,124.13654376614478
2012-12-17:2012-12-21,123.67603302001952,123.11896416448778
2012-12-24:2012-12-28,121.28553009033205,124.05103129725302
2012-12-31:2013-01-04,126.77682495117188,126.42367824431389
2013-01-07:2013-01-11,127.38317108154295,127.42338562011719
2013-01-14:2013-01-18,128.47450256347656,128.88353163196194
2013-01-21:2013-01-25,130.13746643066406,130.12544398153983
2013-01-28:2013-02-01,130.99496459960938,130.18358538227696
2013-02-04:2013-02-08,131.47999572753906,131.5908906998173
2013-02-11:2013-02-15,131.74848937988278,131.81665826612902
2013-02-18:2013-02-22,131.5579833984375,129.84076272287678
2013-02-25:2013-03-01,131.74848937988278,133.1071993920111
2013-03-04:2013-03-08,134.63278198242188,135.10389168031753
2013-03-11:2013-03-15,135.57083129882812,134.8060809719947
2013-03-18:2013-03-22,135.37071228027344,135.36763295819682
2013-03-25:2013-03-29,136.30162048339844,135.80743801978326
2013-04-01:2013-04-05,134.9879150390625,136.53877947407383
2013-04-08:2013-04-12,138.15470886230472,135.42124742077243
2013-04-15:2013-04-19,135.26634216308594,136.6100833031439
2013-04-22:2013-04-26,137.66749572753906,138.64386183215726
2013-04-29:2013-05-03,140.39056396484378,141.21398482784147
2013-05-06:2013-05-10,142.16539001464844,143.14398784022177
2013-05-13:2013-05-17,145.2364501953125,145.04084236391128
2013-05-20:2013-05-24,143.81832885742188,144.00749747983872
2013-05-27:2013-05-31,142.20016479492188,142.38174881473665
2013-06-03:2013-06-07,143.37464904785156,142.57201410108996
2013-06-10:2013-06-14,141.96522521972656,142.83223748976184
2013-06-17:2013-06-21,139.12187194824222,138.37395944902974
2013-06-24:2013-06-28,140.30255126953122,141.12413910896547
2013-07-01:2013-07-05,142.57652282714844,144.09354129914314
2013-07-08:2013-07-12,146.50341796875,146.9678477625693
2013-07-15:2013-07-19,147.95530700683594,148.0089091639365
2013-07-22:2013-07-26,147.90283203125,147.64495701943673
2013-07-29:2013-08-02,149.5120391845703,148.81295333370085
2013-08-05:2013-08-09,148.07777404785156,147.72733823714717
2013-08-12:2013-08-16,145.0341796875,144.39117283974923
2013-08-19:2013-08-23,145.7250518798828,144.17479238202495
2013-08-26:2013-08-30,143.1275177001953,143.72930711315524
2013-09-02:2013-09-06,145.21783447265625,147.21047875189012
2013-09-09:2013-09-13,148.09521484375,149.60636212748867
2013-09-16:2013-09-20,150.03868103027344,149.11022998440652
2013-09-23:2013-09-27,148.4479522705078,148.09415312736266
2013-09-30:2013-10-04,148.43043518066406,146.6763650217364
2013-10-07:2013-10-11,149.63442993164062,150.30605783770162
2013-10-14:2013-10-18,153.26409912109375,153.6077196674962
2013-10-21:2013-10-25,154.63514709472656,155.075687531502
2013-10-28:2013-11-01,154.86367797851562,155.22538412770916
2013-11-04:2013-11-08,155.81280517578125,156.06570729901713
2013-11-11:2013-11-15,158.23849487304688,157.55578367171748
2013-11-18:2013-11-22,158.90638732910156,158.85335959157635
2013-11-25:2013-11-29,159.07334899902344,158.3141385970577
2013-12-02:2013-12-06,159.02064514160156,158.69490838819934
2013-12-09:2013-12-13,156.5334930419922,157.8839342671056
2013-12-16:2013-12-20,160.4318084716797,161.53920081353957
2013-12-23:2013-12-27,162.45533752441406,162.6486122377457
2013-12-30:2014-01-03,161.60704040527344,161.65008446478075
2014-01-06:2014-01-10,162.71157836914062,161.5480464812248
2014-01-13:2014-01-17,162.269775390625,162.2843204621346
2014-01-20:2014-01-24,158.07257080078125,157.5357912125126
2014-01-27:2014-01-31,157.44512939453125,154.63976607784147
2014-02-03:2014-02-07,158.77061462402344,160.03162064090853
2014-02-10:2014-02-14,162.60557556152344,162.5425759592364
2014-02-17:2014-02-21,162.49069213867188,163.46041427120085
2014-02-24:2014-02-28,164.6113739013672,164.6384523453251
2014-03-03:2014-03-07,166.35214233398438,165.68170707456528
2014-03-10:2014-03-14,163.1710662841797,165.08830212008567
2014-03-17:2014-03-21,165.258056640625,164.67654714276713
2014-03-24:2014-03-28,164.62789916992188,166.55040962465347
2014-03-31:2014-04-04,165.43553161621094,163.9476505402596
2014-04-07:2014-04-11,161.09555053710938,163.31489759875882
2014-04-14:2014-04-18,165.42665100097656,166.26895387711065
2014-04-21:2014-04-25,165.33790588378906,166.34139817760837
2014-04-28:2014-05-02,166.9088134765625,166.73534221033896
2014-05-05:2014-05-09,166.82005310058594,168.2129413235572
2014-05-12:2014-05-16,166.8999786376953,167.37923948226435
2014-05-19:2014-05-23,168.9412384033203,169.50955593970514
2014-05-26:2014-05-30,171.00918579101562,171.3745373141381
2014-06-02:2014-06-06,173.40554809570312,173.3537400768649
2014-06-09:2014-06-13,172.296142578125,172.98697637742566
2014-06-16:2014-06-20,174.73585510253906,174.34926137616557
2014-06-23:2014-06-27,174.6288604736328,175.22895369991178
2014-06-30:2014-07-04,176.75131225585938,175.70560184601814
2014-07-07:2014-07-11,175.3333740234375,176.06693587764616
2014-07-14:2014-07-18,176.3143310546875,176.4181656376008
2014-07-21:2014-07-25,176.32321166992188,175.68115825037802
2014-07-28:2014-08-01,171.66815185546875,172.08237531108242
2014-08-04:2014-08-08,172.3280487060547,173.052979500063
2014-08-11:2014-08-15,174.53970336914062,176.5945331204322
2014-08-18:2014-08-22,177.63417053222656,178.5817177064957
2014-08-25:2014-08-29,178.98963928222656,178.9252176592427
2014-09-01:2014-09-05,179.3463592529297,178.4718746062248
2014-09-08:2014-09-12,177.58065795898438,178.23563704952116
2014-09-15:2014-09-19,179.81735229492188,178.01390764790196
2014-09-22:2014-09-26,177.30870056152344,176.2850312263735
2014-09-29:2014-10-03,176.07232666015625,174.83474534557712
2014-10-06:2014-10-10,170.71453857421875,167.8287122172694
2014-10-13:2014-10-17,168.8599090576172,172.09227137411796
2014-10-20:2014-10-24,175.99166870117188,176.84051612115675
2014-10-27:2014-10-31,180.67745971679688,180.80524272303427
2014-11-03:2014-11-07,182.1827087402344,182.81969181183848
2014-11-10:2014-11-14,182.9890594482422,183.61332210417717
2014-11-17:2014-11-21,185.17515563964844,185.7243125669418
2014-11-24:2014-11-28,185.6410675048828,185.07921526508946
2014-12-01:2014-12-05,186.3578338623047,184.3760459653793
2014-12-08:2014-12-12,179.9876251220703,179.3006129111013
2014-12-15:2014-12-19,186.05307006835938,187.05450636340726
2014-12-22:2014-12-26,187.78277587890625,187.12455208070816
2014-12-29:2015-01-02,185.07107543945312,181.67208714638986
2015-01-05:2015-01-09,184.0080108642578,181.98534270255797
2015-01-12:2015-01-16,181.64767456054688,182.2730742423765
2015-01-19:2015-01-23,184.6566467285156,183.46630859375
2015-01-26:2015-01-30,179.6837158203125,183.18616362540953
2015-02-02:2015-02-06,185.1791839599609,185.52356104696952
2015-02-09:2015-02-13,188.98997497558597,189.16144241825228
2015-02-16:2015-02-20,190.30528259277344,190.46046939972908
2015-02-23:2015-02-27,189.7827606201172,190.35469498172884
2015-03-02:2015-03-06,186.9359436035156,186.3294210126323
2015-03-09:2015-03-13,185.4314422607422,188.11722490864415
2015-03-16:2015-03-20,190.4036865234375,188.8615501157699
2015-03-23:2015-03-27,186.1776885986328,187.56778347876764
2015-03-30:2015-04-03,186.81118774414062,188.08504510694934
2015-04-06:2015-04-10,190.0688323974609,189.5005109233241
2015-04-13:2015-04-17,188.17755126953125,190.0586414952432
2015-04-20:2015-04-24,191.52577209472656,190.72623517436367
2015-04-27:2015-05-01,190.68418884277344,190.1447522563319
2015-05-04:2015-05-08,191.49864196777344,190.51548717867942
2015-05-11:2015-05-15,192.24066162109372,192.81602084252143
2015-05-18:2015-05-22,192.73838806152344,192.0847930908203
2015-05-25:2015-05-29,191.0642852783203,191.30860851657005
2015-06-01:2015-06-05,189.82452392578125,189.16714822092365
2015-06-08:2015-06-12,190.04173278808597,189.9601327219317
2015-06-15:2015-06-19,191.6935577392578,192.3679440406061
2015-06-22:2015-06-26,190.79331970214844,187.30362972136467
2015-06-29:2015-07-03,188.5109405517578,187.93810542937248
2015-07-06:2015-07-10,188.66552734375,191.28790480090726
2015-07-13:2015-07-17,193.212158203125,192.69587166078628
2015-07-20:2015-07-24,189.138427734375,189.4463638797883
2015-07-27:2015-07-31,191.41168212890625,190.56426214402723
2015-08-03:2015-08-07,189.0928955078125,190.69010482295866
2015-08-10:2015-08-14,190.42962646484372,190.32137913857736
2015-08-17:2015-08-21,179.8905792236328,173.2346919890373
2015-08-24:2015-08-28,181.20913696289062,177.82205593970514
2015-08-31:2015-09-04,175.12579345703125,176.83267113470262
2015-09-07:2015-09-11,178.89947509765625,179.53146165417087
2015-09-14:2015-09-18,178.65042114257812,178.31841253465223
2015-09-21:2015-09-25,176.27389526367188,172.75184680569558
2015-09-28:2015-10-02,178.23910522460938,181.60721858855217
2015-10-05:2015-10-09,184.0249786376953,183.73663034746724
2015-10-12:2015-10-16,185.7982482910156,185.88258657147807
2015-10-19:2015-10-23,189.6737823486328,189.47862046764746
2015-10-26:2015-10-30,190.0576934814453,192.42214867376512
2015-11-02:2015-11-06,191.986328125,189.91351515246976
2015-11-09:2015-11-13,185.1309814453125,188.5592548001197
2015-11-16:2015-11-20,191.31907653808597,191.22444349719632
2015-11-23:2015-11-27,191.54759216308597,191.04869178033644
2015-11-30:2015-12-04,191.60243225097656,189.4193405643586
2015-12-07:2015-12-11,184.52772521972656,186.63329389018398
2015-12-14:2015-12-18,183.91571044921875,186.73998678884197
2015-12-21:2015-12-25,189.11997985839844,189.17366372385334
2015-12-28:2016-01-01,187.45571899414062,183.97144194572203
2016-01-04:2016-01-08,176.4678497314453,176.48296430034023
2016-01-11:2016-01-15,172.68875122070312,172.50575059460056
2016-01-18:2016-01-22,175.18055725097656,173.4655515609249
2016-01-25:2016-01-29,178.1229248046875,176.6609344482422
2016-02-01:2016-02-05,172.81748962402344,170.3597899406187
2016-02-08:2016-02-12,171.60377502441406,173.57591050670993
2016-02-15:2016-02-19,176.54139709472656,178.3806900516633
2016-02-22:2016-02-26,179.38259887695312,180.27362848097277
2016-02-29:2016-03-04,184.29269409179688,183.77867274130546
2016-03-07:2016-03-11,186.4350891113281,186.4307610296434
2016-03-14:2016-03-18,188.89390563964844,188.8229247062437
2016-03-21:2016-03-25,187.72938537597656,188.86586195422757
2016-03-28:2016-04-01,191.24143981933597,189.96182546307963
2016-04-04:2016-04-08,189.0047912597656,189.83899565665953
2016-04-11:2016-04-15,192.03623962402344,193.6214816185736
2016-04-18:2016-04-22,193.1361083984375,192.8284218080582
2016-04-25:2016-04-29,190.69615173339844,191.18121879331528
2016-05-02:2016-05-06,190.1323699951172,190.97908167685233
2016-05-09:2016-05-13,189.24508666992188,190.23641672442037
2016-05-16:2016-05-20,189.9197998046875,191.1770496983682
2016-05-23:2016-05-27,194.3098907470703,194.25921729303175
2016-05-30:2016-06-03,194.34683227539062,195.54149898405998
2016-06-06:2016-06-10,194.15277099609372,192.44393674788935
2016-06-13:2016-06-17,191.86436462402344,193.3106389199534
2016-06-20:2016-06-24,188.8170928955078,188.04632125362272
2016-06-27:2016-07-01,195.0230865478516,194.6883254512664
2016-07-04:2016-07-08,197.5593414306641,199.0458063925466
2016-07-11:2016-07-15,200.51368713378903,201.0977566626764
2016-07-18:2016-07-22,201.8236389160156,201.30514083370085
2016-07-25:2016-07-29,201.7121124267578,201.12593816941785
2016-08-01:2016-08-05,202.6968994140625,202.60638919953377
2016-08-08:2016-08-12,202.95703125,203.1548343781502
2016-08-15:2016-08-19,203.0313415527344,202.9591354862336
2016-08-22:2016-08-26,201.8700714111328,202.6024918094758
2016-08-29:2016-09-02,202.8734130859375,202.96422404627646
2016-09-05:2016-09-09,198.14463806152344,199.7392071139428
2016-09-12:2016-09-16,199.2295684814453,199.86449210874497
2016-09-19:2016-09-23,201.67593383789062,200.74012018019152
2016-09-26:2016-09-30,201.96539306640625,201.17443158549648
2016-10-03:2016-10-07,200.78890991210938,200.60035804010207
2016-10-10:2016-10-14,198.9961700439453,198.99312813051284
2016-10-17:2016-10-21,199.7991485595703,200.16239092426915
2016-10-24:2016-10-28,198.45455932617188,197.40669299710183
2016-10-31:2016-11-04,194.7290344238281,199.970213859312
2016-11-07:2016-11-11,202.07745361328125,202.9997287873299
2016-11-14:2016-11-18,204.0196075439453,205.80452457551033
2016-11-21:2016-11-25,206.83946228027344,205.88101442398565
2016-11-28:2016-12-02,205.1213836669922,207.37229230326992
